pace,heart_rate,cadence,acceleration,time,label
309,129,163,0.137,1904,0
335,155,153,0.129,89,0
265,180,183,0.175,3492,2
329,161,160,0.105,830,0
325,138,147,0.11,1683,0
304,172,168,0.151,991,1
302,168,164,0.156,2677,1
335,143,156,0.125,2217,0
281,152,169,0.16,3145,1
292,165,170,0.124,1243,1
303,164,183,0.133,512,1
269,180,184,0.209,948,2
323,136,156,0.119,2356,0
284,159,177,0.12,2493,1
272,184,173,0.198,1773,2
305,181,169,0.163,3438,1
324,149,167,0.122,3104,0
339,137,158,0.114,985,0
310,157,162,0.131,2096,1
281,183,164,0.164,3300,1
296,159,170,0.163,157,1
326,136,160,0.148,434,0
319,142,160,0.105,64,0
287,134,158,0.16,2008,1
251,182,184,0.192,2853,2
280,159,165,0.205,826,2
315,137,167,0.112,3190,0
335,163,151,0.105,1384,0
259,165,185,0.202,547,2
281,175,170,0.205,225,2
353,156,155,0.137,2147,0
278,172,184,0.198,2426,2
269,164,171,0.16,304,2
298,160,157,0.162,1383,1
286,169,180,0.191,2134,2
292,163,167,0.152,3249,1
292,159,154,0.113,255,1
313,146,147,0.09,3593,0
275,159,175,0.152,3459,2
302,153,169,0.109,1420,1
335,132,154,0.147,786,0
271,159,172,0.163,164,1
301,147,144,0.111,2655,0
337,142,152,0.114,3374,0
286,169,167,0.154,1010,1
278,179,176,0.202,2,2
342,137,137,0.079,1165,0
275,175,177,0.184,2067,2
288,151,162,0.135,506,1
333,157,163,0.088,1556,0
272,188,182,0.163,2246,2
275,186,182,0.188,2701,2
276,184,177,0.186,1507,2
345,131,161,0.14,636,0
314,151,168,0.13,1548,1
326,146,140,0.097,3505,0
304,147,164,0.138,84,1
347,144,162,0.161,242,0
311,163,158,0.084,544,0
320,154,164,0.09,3467,0
254,173,178,0.208,1820,2
309,161,176,0.143,1226,1
260,179,184,0.136,1279,2
296,158,162,0.14,2164,1
318,151,160,0.082,1785,0
307,156,157,0.159,1586,1
291,135,168,0.082,3182,0
277,173,163,0.229,3017,2
280,160,180,0.207,2258,2
341,144,161,0.109,2370,0
298,169,161,0.121,973,1
276,175,177,0.161,562,2
266,162,176,0.156,1078,2
313,170,147,0.147,2167,1
296,167,177,0.122,2540,1
312,153,170,0.147,1313,1
298,138,174,0.135,1245,1
240,163,170,0.188,1801,2
323,150,156,0.074,1224,0
286,140,173,0.162,2976,1
333,125,168,0.126,1517,0
312,139,150,0.13,1827,0
311,156,169,0.167,2221,1
305,168,177,0.147,239,1
273,182,184,0.189,1763,2
345,153,145,0.107,601,0
330,156,155,0.108,2133,0
303,168,164,0.138,140,1
325,158,159,0.153,3557,1
316,148,174,0.134,989,1
270,162,176,0.152,1762,2
311,148,160,0.149,3288,1
334,148,156,0.092,2740,0
321,157,160,0.136,3267,1
262,176,190,0.216,1130,2
262,160,178,0.19,1301,2
310,138,141,0.084,860,0
262,177,168,0.188,3317,2
292,148,153,0.134,1519,1
331,144,151,0.111,1431,0
298,152,165,0.162,1634,1
311,131,160,0.114,2282,0
284,195,168,0.179,967,2
254,162,183,0.167,1464,2
310,131,153,0.095,1944,0
273,177,181,0.176,2195,2
301,169,179,0.12,1475,1
285,157,165,0.122,2874,1
303,182,175,0.201,2610,2
309,166,160,0.125,3013,0
234,169,167,0.188,519,2
334,154,147,0.117,2359,0
333,140,167,0.111,3532,0
311,158,176,0.133,1860,1
270,167,172,0.169,1929,2
334,148,153,0.085,1983,0
301,149,164,0.132,1607,1
301,159,157,0.166,2472,1
294,158,173,0.168,1303,1
261,180,178,0.17,1583,2
351,137,150,0.083,2550,0
337,140,173,0.122,1625,0
297,150,157,0.138,1863,1
306,166,161,0.133,2840,1
288,144,162,0.093,2889,1
283,163,180,0.214,1650,2
275,175,180,0.215,225,2
262,193,173,0.142,1002,2
273,169,186,0.196,494,2
260,190,172,0.21,3018,2
314,154,169,0.119,2743,1
363,133,141,0.106,2449,0
284,178,174,0.2,1264,2
292,163,177,0.115,1823,1
299,164,161,0.152,556,1
339,155,159,0.088,322,0
322,166,158,0.15,2348,1
322,151,148,0.094,3171,0
263,187,184,0.153,2321,2
317,160,177,0.137,701,1
284,180,187,0.175,2655,2
268,178,178,0.155,1990,2
302,172,162,0.163,1233,1
265,169,178,0.195,2865,2
295,175,178,0.198,3390,2
297,161,162,0.156,1993,1
260,171,176,0.22,1650,2
313,154,166,0.138,2137,1
286,182,176,0.182,2091,2
247,165,190,0.168,837,2
276,190,178,0.198,2404,2
331,153,153,0.099,2969,0
371,137,164,0.122,1605,0
266,177,174,0.174,2519,2
275,181,185,0.179,759,2
235,174,174,0.151,2890,2
314,165,169,0.135,3441,1
314,165,164,0.098,1235,1
335,160,154,0.083,1949,0
256,195,170,0.185,338,2
305,174,162,0.163,1193,1
293,172,169,0.147,42,1
285,170,195,0.192,2055,2
344,152,165,0.133,1245,0
287,146,169,0.14,3044,1
318,137,148,0.115,579,0
264,182,167,0.191,2289,2
332,159,147,0.124,2299,0
274,192,178,0.16,2422,2
311,153,155,0.142,1777,1
309,162,170,0.144,3498,1
335,145,161,0.132,2037,0
342,146,142,0.116,3062,0
251,162,184,0.193,758,2
320,161,162,0.121,2171,1
319,158,167,0.14,1949,1
310,161,155,0.146,2283,1
287,189,165,0.192,630,2
261,195,175,0.186,3051,2
299,159,179,0.179,258,1
322,153,155,0.117,2710,0
270,177,182,0.19,1685,2
308,186,161,0.161,1508,1
266,164,183,0.141,658,2
325,154,154,0.08,841,0
333,139,148,0.145,274,0
264,183,175,0.189,2004,2
268,167,174,0.16,3107,2
337,138,145,0.076,464,0
246,174,180,0.182,1744,2
308,133,145,0.105,152,0
319,137,152,0.146,3488,0
350,133,153,0.112,1846,0
280,146,171,0.123,1329,1
322,125,144,0.124,1933,0
303,161,168,0.119,789,1
337,148,151,0.127,2497,0
312,172,160,0.172,2961,1
340,137,152,0.124,244,0
334,155,143,0.116,1942,0
312,151,156,0.077,1504,0
321,138,163,0.111,2762,0
317,145,155,0.124,2699,0
306,147,159,0.098,2221,0
300,150,170,0.149,2199,1
276,190,173,0.167,3377,2
278,196,181,0.189,1089,2
283,169,159,0.129,2162,1
241,157,173,0.197,827,2
308,138,159,0.104,2914,0
324,154,163,0.133,3420,0
297,166,165,0.123,20,1
264,185,176,0.17,1655,2
304,163,169,0.144,2181,1
270,171,175,0.159,2797,2
326,167,143,0.109,2460,0
262,173,180,0.179,3511,2
266,173,173,0.18,2670,2
333,144,155,0.143,1034,0
277,182,176,0.187,2973,2
260,191,174,0.158,3202,2
299,176,161,0.135,2786,1
296,162,165,0.138,934,1
297,154,167,0.15,1642,1
307,160,170,0.153,1748,1
300,145,168,0.145,3479,1
301,161,173,0.127,410,1
317,184,164,0.134,1384,1
326,131,151,0.118,828,0
308,160,172,0.13,1827,1
255,180,184,0.186,313,2
260,179,188,0.197,1182,2
259,175,183,0.217,997,2
309,137,162,0.1,1342,0
295,152,175,0.149,916,1
277,185,177,0.181,1031,2
281,174,177,0.193,2382,2
256,167,188,0.177,3147,2
316,183,169,0.125,2529,1
287,160,172,0.178,99,1
318,150,168,0.099,468,0
330,153,148,0.128,313,0
320,156,170,0.14,2443,1
309,144,158,0.158,1845,1
327,144,155,0.099,834,0
283,182,183,0.221,2510,2
346,138,147,0.109,1540,0
330,145,153,0.107,3145,0
271,160,173,0.181,611,2
302,172,171,0.204,2571,1
294,161,170,0.134,3087,1
299,176,155,0.155,3164,1
316,155,150,0.131,1206,0
336,134,160,0.107,1263,0
270,166,180,0.173,703,2
285,169,178,0.194,1756,2
281,150,161,0.125,504,1
261,181,189,0.157,2912,2
313,146,163,0.146,3574,1
304,151,178,0.129,3542,1
285,177,163,0.121,289,1
274,177,183,0.166,69,2
308,162,145,0.174,1088,1
271,171,185,0.194,2894,2
342,149,163,0.143,2996,0
313,113,149,0.109,3394,0
278,161,173,0.181,364,2
331,151,157,0.099,571,0
290,200,172,0.201,1750,2
264,195,169,0.163,3024,2
342,142,154,0.096,2188,0
304,142,158,0.159,1148,0
358,145,151,0.12,369,0
341,137,158,0.103,1277,0
280,170,185,0.192,3113,2
291,159,176,0.156,1038,1
329,164,148,0.119,795,0
299,170,173,0.155,375,1
320,166,147,0.105,2831,0
305,147,172,0.164,601,1
300,150,156,0.149,36,1
307,174,160,0.125,1429,1
280,189,178,0.204,2941,2
281,177,169,0.2,1674,2
268,164,172,0.182,3598,2
294,163,167,0.125,1114,1
303,152,163,0.165,2058,1
342,160,172,0.112,2549,0
273,172,190,0.174,1343,2
268,169,179,0.204,3484,2
336,146,151,0.122,793,0
285,157,161,0.119,3001,1
328,151,150,0.092,2984,0
270,158,174,0.194,2057,2
327,146,154,0.124,2506,0
317,147,170,0.123,1565,1
342,166,167,0.09,2766,0
280,168,182,0.186,1103,2
269,159,175,0.222,1447,2
283,159,175,0.209,3504,2
302,160,164,0.129,576,1
345,140,167,0.133,466,0
303,165,153,0.144,513,1
301,168,166,0.113,2293,1
300,150,160,0.142,28,1
301,152,165,0.087,2847,0
279,151,159,0.128,2625,1
312,157,154,0.108,1950,1
293,163,173,0.111,6,1
342,147,139,0.109,165,0
267,183,179,0.193,1754,2
270,190,169,0.168,923,2
278,173,187,0.18,144,2
292,189,182,0.208,985,2
275,147,160,0.082,132,1
263,170,174,0.187,1323,2
307,139,148,0.077,2450,0
259,175,171,0.184,2733,2
276,155,178,0.184,205,2
335,149,151,0.114,2208,0
270,179,172,0.168,3503,2
253,187,192,0.173,1348,2
317,161,158,0.136,314,1
327,126,169,0.119,77,0
266,161,156,0.138,2011,1
253,171,171,0.188,241,2
315,150,157,0.098,1083,0
321,158,158,0.177,927,1
343,150,151,0.114,984,0
305,175,164,0.134,555,1
252,169,182,0.174,2539,2
259,170,172,0.18,1234,2
300,185,183,0.131,92,1
300,177,170,0.143,1062,1
307,145,160,0.114,3139,0
326,151,144,0.106,1470,0
313,161,174,0.15,418,1
335,151,146,0.103,2088,0
258,173,171,0.187,1207,2
318,162,159,0.16,1148,1
302,146,166,0.092,855,1
262,171,184,0.164,256,2
316,151,159,0.076,3122,0
352,168,171,0.094,3132,0
353,131,137,0.069,1260,0
358,158,150,0.084,2460,0
296,152,176,0.131,2966,1
308,172,179,0.18,187,2
325,152,144,0.096,2604,0
